id,authorDisplayName,textOriginal,publishedAt
1254825307116236800,Aom🐷,"Good Night.
🥰 วงการนี้ เข้าแล้วออกยาก..❤️น่ายัก
#ไบร์ทวิน
#bbrightvc 
#คั่นกู 
#เพราะเราคู่กัน https://t.co/NV5Pxuum8V",Mon Apr 27 17:30:41 +0000 2020
1254824517832040448,ชาวบ้านตาดำดำคนหนึ่ง🌄🌅,เราไม่รู้เลยว่าเราจะตายวันไหน​ เเต่ขอเถอะ​ ก่อนตายขอให้ได้ดู​ #คั่นกู ให้จบก่อน​  ติดหนักมาก​ วนดู​ๆเหมือนคนบ้าอ่าตอนนี้,Mon Apr 27 17:27:33 +0000 2020
1254824437213364225,Bwin Metawit​,"Playlist นี้คือใช้มากสำหรับช่วงนี้ คือพอฟังแล้วภาพซีรี่ย์จะลอยมาเลย ถ้าซีรี่ย์จบแล้วมาฟังนี่คงต้องคิดถึงมากแน่ๆ 💙
#คั่นกู #bbrightvc​ #winmatawin​ #ไบร์ทวิน https://t.co/KxEZ1JJ1tW",Mon Apr 27 17:27:13 +0000 2020
1254824056894849032,Prangky!!,ควรนอนไหมล่า จะมัวดูแต่ #คั่นกู วนไปวนมา บ่ได้เด้อออออ ใจร่มๆ เดี๋ยวก็วันศุกร์ ตอนนี้ควรพักก่อน😅,Mon Apr 27 17:25:43 +0000 2020
1254823737452425217,Anusara_Jam,@Woodytalk เรื่องนี้ดีพี่ @Woodytalk  ค่อยๆไต่ระดับ เริ่มจาก #คั่นกู ตามด้วย #TharnTypeTheSeries  ฟินเวอร์,Mon Apr 27 17:24:27 +0000 2020
1254822508479447042,🐰Ka-tui Win ft. P'Bright 🌞,"แด่ ""คั่นกู"" คงคิดถึง #สารวัตรไทน์ และตัวละครอื่นมากแน่ๆเลย แต่ยังไงเราก็ยังมี #ไบร์ทวิน อยู่ เราจะรอวันที่กลับมาแสดงคู่กันอีกครั้งนะ สัญญา 🤗😘❤

#คั่นกู https://t.co/HQ5iNmP7cL",Mon Apr 27 17:19:34 +0000 2020
1254822431274893321,BB,หอมแก้มกันเอง ขอแต่งงานเอง เห้ยยยย นอกบทเยอะไปอะ หรือจะเอาชีวิตจริงๆมาใช้ ฮ่าาาาาา5555 รักทั้งคู่ แล้วเสื้อคือระ โซฟาคือระ ผ้าห่มคือระ #ไบร์ท #ไบร์ทวชิรวิชญ์ #ไบร์ทวิน #คั่นกู #bbrightvc #bbright #bbrightwin https://t.co/XKDtBDlDOe,Mon Apr 27 17:19:15 +0000 2020
1254821524306984960,พิบ้อบ~🌼,เข้าไปโหวตให้ #ไบร์ทวิน กันหน่อยทุกคนนนน🐰💗 #คั่นกู #เพราะเราคู่กัน  https://t.co/xgqOKkNeku,Mon Apr 27 17:15:39 +0000 2020
1254820899049443328,จันทร์เจ้า,"มีใครสนใจ #เพราะเราคู่กัน #คั่นกู อยู่ไหมงับ สนพ.เป็นผู้ส่งให้ ในซีล เราแค่อยากได้แค่ coin จากแอพเฉย 
ยอดในแอพ 670 เราคิด 570 
มีรีวิวการส่งของ เช็คได้ค่า

#ส่งต่อนิยาย #นิยายวาย #นิยายวายแนะนํา https://t.co/cG11o8Wxo6",Mon Apr 27 17:13:10 +0000 2020
1254820714323955712,ติ่งวายไปวันๆ,ล่าสุด โดนไทน์ตก กลายเป็นสาวก Scrubb ไปละ #คั่นกู #ไทน์คนชิคชิค #วินเมธวิน,Mon Apr 27 17:12:26 +0000 2020
1254820405870649344,mildluk{สาววายคุคิ},"ไปเดทกันนนนน😋🌈

ปล.ภาพก่อนซีรีส์ออนแอร์นะคะ
#bbrightvc #winmetawin #ไบร์ทวิน #คั่นกู #2gethertheseries #ไบร์ทวิน https://t.co/vAWM6d9ahj",Mon Apr 27 17:11:12 +0000 2020
1254819451179954176,จีจี้_ฮาดิส,"&lt;&lt;~~GiVe AWAY ~~&gt;&gt;
      💕❤️  ((::𝕓𝕣𝕚𝕘𝕙𝕥 &amp; 𝕨𝕚𝕟::))🌟✨
• เป็นแบบฟอร์มกรอกนะค่า•
|| เป็นเซ็ทนะคะ 1 เซ็ท มี2 แผ่น คือ พี่ไบร์ท กับ พี่วิน ||
 ผู้ที่ได้รับเสียค่าจัดส่ง 30฿ นะค่าา
[มีแค่15เซ็ทเท่านั้น]
#ไบร์ทวิน #winmetawin #bbrightvc #คั่นกู https://t.co/gE8fGBZguK",Mon Apr 27 17:07:25 +0000 2020
1254819288264802304,Marimo,"บังเอิญ​🤣🤣
#ไบร์ทวิน
#bbrigthvc #winmetawin​ #snowballpower​ #คั่นกู #2getherseries  #เพราะเราคู่กัน https://t.co/K4GSUQxEMT",Mon Apr 27 17:06:46 +0000 2020
1254819111416168463,ติ่งวายไปวันๆ,"พระเอกหล่อ #bbrightvc #ไบร์ทวชิรวิชญ์ #คั่นกู #คั่นกูep10 #คั่นกูEP11 
https://t.co/Wz2Gf7Tu6c",Mon Apr 27 17:06:04 +0000 2020
1254818944940011520,KKaa ☀,"เข้ามาโหวตให้น้องกันเยอะๆน้าา 

#brightvc #vachirawitchivaaree #100bestface2020final #ไบร์ท #ไบร์ทวชิรวิชญ์ #คั่นกู @bbrightvc
        ↕↕↕↕↕↕↕↕↕↕↕↕↕↕↕↕↕↕↕
https://t.co/lBt7qNZAzo https://t.co/bhrM5B2Wnk",Mon Apr 27 17:05:24 +0000 2020
1254818715205435399,PIMPISA_PIM,แก ฉันอยากให้เพราะเราคู่กันมี ss2 ฝากไปบอกผู้กำกับที~~~ #คั่นกู #เพราะเราคู่กัน #ทีมเมียสารวัตร #ไบร์ทวิน,Mon Apr 27 17:04:29 +0000 2020
1254818426557587456,Marimo,"เห็นแค่นี้.... ก็คิดไปยันว่าเขาจะเชิญใครในงานแต่งบ้าง😂😂😂
#ไบร์ทวิน
#bbrigthvc #winmetawin​ #snowballpower​ #คั่นกู #2getherseries  #เพราะเราคู่กัน https://t.co/DPGQ4GR3sf",Mon Apr 27 17:03:20 +0000 2020
1254818287071854593,PIMPISA_PIM,"แกเพราะเราคู่กันจะจบแล้วอ่า เหลืออีกแค่ 3ep. เองอ่ะ อยากให้มี ss2 มั้กๆ
#คั่นกู #เพราะเราคู่กัน #ทีมเมียสารวัตร",Mon Apr 27 17:02:47 +0000 2020
1254816741697323011,Aris Land,"คนอะไรคุยกับผมเป็นด้วย 5555
@mmikesiri 
#2getherTheSeriesep10 
#แมนไทป์ #แมน #คั่นกู #เพราะเราคู่กัน https://t.co/hS5crPXktx",Mon Apr 27 16:56:39 +0000 2020
1254816677826461698,PS Brother,"สบู่ ยาสีฟัน แปรงสีฟัน ยาสระผม ครีมนวดผม ที่โกนหนวด ครีมโกนหนวด, ซื้อเกงในมาให้ด้วย 🥰 #คั่นกู",Mon Apr 27 16:56:24 +0000 2020
1254816564290846726,Marimo,"ฉันกำลังจะตายเพราะพวกนาง 😂😂😂
#ไบร์ทวิน
#bbrigthvc #winmetawin​ #snowballpower​ #คั่นกู #2getherseries  #เพราะเราคู่กัน https://t.co/diGY02TNqE",Mon Apr 27 16:55:56 +0000 2020
1254816265308270592,PS Brother,"อะไรที่เกี่ยวกับมึง, กูก็เก็บไว้หมดอะ 🥰 #คั่นกู",Mon Apr 27 16:54:45 +0000 2020
1254816167165755405,W&B,มิติใหม่ของการแต่งหน้า🤣🤣🤣🤣#สุดยอดมากเวลามันมีน้อยอะเนอะ  #2getherTheSeries #bbrightvc #GMM25 #winmetawin #คั่นกู #ไบรท์วิน https://t.co/SzbOONHdPd,Mon Apr 27 16:54:22 +0000 2020
